Variables;MILP Feasible;result
;3;3
X_10_4_1;1;1
X_10_4_2;1;1
X_10_4_3;1;1
X_10_4_4;1;1
X_10_4_5;1;1
X_9_3_6;1;1
X_9_1_7;1;1
X_10_4_8;1;1
X_9_3_10;1;1
X_9_3_11;1;1
X_9_3_12;1;1
X_9_3_13;1;1
X_6_4_14;1;1
X_10_4_15;1;1
X_9_3_16;1;1
X_6_1;1;1
X_6_2;1;1
X_6_3;1;1
X_6_4;1;1
X_9_1;1;1
X_9_2;1;1
X_9_3;1;1
X_10_4;1;1
X1;0;0
X2;0;0
X3;0;0
X4;0;0
X5;0;0
X7;0;0
X8;0;0
Y9;0;0
X_1_1_1;0;0
X_1_2_1;0;0
X_1_3_1;0;0
X_1_4_1;0;0
X_2_1_1;0;0
X_2_2_1;0;0
X_2_3_1;0;0
X_2_4_1;0;0
X_3_1_1;0;0
X_3_2_1;0;0
X_3_3_1;0;0
X_3_4_1;0;0
X_4_1_1;0;0
X_4_2_1;0;0
X_4_3_1;0;0
X_4_4_1;0;0
X_5_1_1;0;0
X_5_2_1;0;0
X_5_3_1;0;0
X_5_4_1;0;0
X_6_1_1;0;0
X_6_2_1;0;0
X_6_3_1;0;0
X_6_4_1;0;0
X_7_1_1;0;0
X_7_2_1;0;0
X_7_3_1;0;0
X_7_4_1;0;0
X_8_1_1;0;0
X_8_2_1;0;0
X_8_3_1;0;0
X_8_4_1;0;0
X_9_1_1;0;0
X_9_2_1;0;0
X_9_3_1;0;0
X_9_4_1;0;0
X_10_1_1;0;0
X_10_2_1;0;0
X_10_3_1;0;0
X_1_1_2;0;0
X_1_2_2;0;0
X_1_3_2;0;0
X_1_4_2;0;0
X_2_1_2;0;0
X_2_2_2;0;0
X_2_3_2;0;0
X_2_4_2;0;0
X_3_1_2;0;0
X_3_2_2;0;0
X_3_3_2;0;0
X_3_4_2;0;0
X_4_1_2;0;0
X_4_2_2;0;0
X_4_3_2;0;0
X_4_4_2;0;0
X_5_1_2;0;0
X_5_2_2;0;0
X_5_3_2;0;0
X_5_4_2;0;0
X_6_1_2;0;0
X_6_2_2;0;0
X_6_3_2;0;0
X_6_4_2;0;0
X_7_1_2;0;0
X_7_2_2;0;0
X_7_3_2;0;0
X_7_4_2;0;0
X_8_1_2;0;0
X_8_2_2;0;0
X_8_3_2;0;0
X_8_4_2;0;0
X_9_1_2;0;0
X_9_2_2;0;0
X_9_3_2;0;0
X_9_4_2;0;0
X_10_1_2;0;0
X_10_2_2;0;0
X_10_3_2;0;0
X_1_1_3;0;0
X_1_2_3;0;0
X_1_3_3;0;0
X_1_4_3;0;0
X_2_1_3;0;0
X_2_2_3;0;0
X_2_3_3;0;0
X_2_4_3;0;0
X_3_1_3;0;0
X_3_2_3;0;0
X_3_3_3;0;0
X_3_4_3;0;0
X_4_1_3;0;0
X_4_2_3;0;0
X_4_3_3;0;0
X_4_4_3;0;0
X_5_1_3;0;0
X_5_2_3;0;0
X_5_3_3;0;0
X_5_4_3;0;0
X_6_1_3;0;0
X_6_2_3;0;0
X_6_3_3;0;0
X_6_4_3;0;0
X_7_1_3;0;0
X_7_2_3;0;0
X_7_3_3;0;0
X_7_4_3;0;0
X_8_1_3;0;0
X_8_2_3;0;0
X_8_3_3;0;0
X_8_4_3;0;0
X_9_1_3;0;0
X_9_2_3;0;0
X_9_3_3;0;0
X_9_4_3;0;0
X_10_1_3;0;0
X_10_2_3;0;0
X_10_3_3;0;0
X_1_1_4;0;0
X_1_2_4;0;0
X_1_3_4;0;0
X_1_4_4;0;0
X_2_1_4;0;0
X_2_2_4;0;0
X_2_3_4;0;0
X_2_4_4;0;0
X_3_1_4;0;0
X_3_2_4;0;0
X_3_3_4;0;0
X_3_4_4;0;0
X_4_1_4;0;0
X_4_2_4;0;0
X_4_3_4;0;0
X_4_4_4;0;0
X_5_1_4;0;0
X_5_2_4;0;0
X_5_3_4;0;0
X_5_4_4;0;0
X_6_1_4;0;0
X_6_2_4;0;0
X_6_3_4;0;0
X_6_4_4;0;0
X_7_1_4;0;0
X_7_2_4;0;0
X_7_3_4;0;0
X_7_4_4;0;0
X_8_1_4;0;0
X_8_2_4;0;0
X_8_3_4;0;0
X_8_4_4;0;0
X_9_1_4;0;0
X_9_2_4;0;0
X_9_3_4;0;0
X_9_4_4;0;0
X_10_1_4;0;0
X_10_2_4;0;0
X_10_3_4;0;0
X_1_1_5;0;0
X_1_2_5;0;0
X_1_3_5;0;0
X_1_4_5;0;0
X_2_1_5;0;0
X_2_2_5;0;0
X_2_3_5;0;0
X_2_4_5;0;0
X_3_1_5;0;0
X_3_2_5;0;0
X_3_3_5;0;0
X_3_4_5;0;0
X_4_1_5;0;0
X_4_2_5;0;0
X_4_3_5;0;0
X_4_4_5;0;0
X_5_1_5;0;0
X_5_2_5;0;0
X_5_3_5;0;0
X_5_4_5;0;0
X_6_1_5;0;0
X_6_2_5;0;0
X_6_3_5;0;0
X_6_4_5;0;0
X_7_1_5;0;0
X_7_2_5;0;0
X_7_3_5;0;0
X_7_4_5;0;0
X_8_1_5;0;0
X_8_2_5;0;0
X_8_3_5;0;0
X_8_4_5;0;0
X_9_1_5;0;0
X_9_2_5;0;0
X_9_3_5;0;0
X_9_4_5;0;0
X_10_1_5;0;0
X_10_2_5;0;0
X_10_3_5;0;0
X_1_1_6;0;0
X_1_2_6;0;0
X_1_3_6;0;0
X_1_4_6;0;0
X_2_1_6;0;0
X_2_2_6;0;0
X_2_3_6;0;0
X_2_4_6;0;0
X_3_1_6;0;0
X_3_2_6;0;0
X_3_3_6;0;0
X_3_4_6;0;0
X_4_1_6;0;0
X_4_2_6;0;0
X_4_3_6;0;0
X_4_4_6;0;0
X_5_1_6;0;0
X_5_2_6;0;0
X_5_3_6;0;0
X_5_4_6;0;0
X_6_1_6;0;0
X_6_2_6;0;0
X_6_3_6;0;0
X_6_4_6;0;0
X_7_1_6;0;0
X_7_2_6;0;0
X_7_3_6;0;0
X_7_4_6;0;0
X_8_1_6;0;0
X_8_2_6;0;0
X_8_3_6;0;0
X_8_4_6;0;0
X_9_1_6;0;0
X_9_2_6;0;0
X_9_4_6;0;0
X_10_1_6;0;0
X_10_2_6;0;0
X_10_3_6;0;0
X_10_4_6;0;0
X_1_1_7;0;0
X_1_2_7;0;0
X_1_3_7;0;0
X_1_4_7;0;0
X_2_1_7;0;0
X_2_2_7;0;0
X_2_3_7;0;0
X_2_4_7;0;0
X_3_1_7;0;0
X_3_2_7;0;0
X_3_3_7;0;0
X_3_4_7;0;0
X_4_1_7;0;0
X_4_2_7;0;0
X_4_3_7;0;0
X_4_4_7;0;0
X_5_1_7;0;0
X_5_2_7;0;0
X_5_3_7;0;0
X_5_4_7;0;0
X_6_1_7;0;0
X_6_2_7;0;0
X_6_3_7;0;0
X_6_4_7;0;0
X_7_1_7;0;0
X_7_2_7;0;0
X_7_3_7;0;0
X_7_4_7;0;0
X_8_1_7;0;0
X_8_2_7;0;0
X_8_3_7;0;0
X_8_4_7;0;0
X_9_2_7;0;0
X_9_3_7;0;0
X_9_4_7;0;0
X_10_1_7;0;0
X_10_2_7;0;0
X_10_3_7;0;0
X_10_4_7;0;0
X_1_1_8;0;0
X_1_2_8;0;0
X_1_3_8;0;0
X_1_4_8;0;0
X_2_1_8;0;0
X_2_2_8;0;0
X_2_3_8;0;0
X_2_4_8;0;0
X_3_1_8;0;0
X_3_2_8;0;0
X_3_3_8;0;0
X_3_4_8;0;0
X_4_1_8;0;0
X_4_2_8;0;0
X_4_3_8;0;0
X_4_4_8;0;0
X_5_1_8;0;0
X_5_2_8;0;0
X_5_3_8;0;0
X_5_4_8;0;0
